Step,Bx,By,Bz,Bm
307,0.0336233,0.14585,0.37908,0.407559
308,0.0242929,0.151355,0.377542,0.407476
309,0.0351766,0.159171,0.37614,0.409944
310,0.0373697,0.15936,0.383809,0.417255
311,0.0333499,0.162602,0.376699,0.411648
312,0.0358352,0.164369,0.392374,0.426918
313,0.0422784,0.166784,0.404606,0.439671
314,0.0293985,0.179291,0.39647,0.436117
315,0.0381518,0.16876,0.41735,0.451793
316,0.0305111,0.179818,0.409963,0.448704
317,0.0315264,0.191917,0.410703,0.454427
318,0.0348014,0.192178,0.418063,0.461433
319,0.044975,0.188376,0.417652,0.460372
320,0.0370231,0.192679,0.41716,0.460997
321,0.0556373,0.182702,0.423875,0.464915
322,0.0532207,0.19619,0.436462,0.481479
323,0.0592607,0.179742,0.428093,0.468062
324,0.0613741,0.173481,0.420844,0.459317
325,0.0649507,0.176689,0.442891,0.481238
326,0.0722299,0.178849,0.430059,0.471333
327,0.0705488,0.170095,0.440572,0.477507
328,0.0668129,0.173853,0.458632,0.495008
329,0.0554954,0.179035,0.443287,0.481287
330,0.0521463,0.176708,0.457367,0.493082
331,0.0609349,0.185523,0.446228,0.487084
332,0.0561272,0.17989,0.456144,0.493536
333,0.0490331,0.186722,0.461927,0.500646
334,0.0540453,0.193289,2.70328,2.71072
335,0.0474354,0.184192,2.78828,2.79476
336,0.0491723,0.184902,2.67692,2.68375
337,0.0456829,0.18554,2.73288,2.73955
338,0.0519639,0.182727,2.68671,2.69342
339,0.0502057,0.185538,2.68707,2.69393
340,0.0509542,0.183795,2.67596,2.68275
341,0.0352566,0.185951,2.5841,2.59102
342,0.038157,0.180341,2.6089,2.6154
343,0.042565,0.18378,2.62194,2.62871
344,0.0379027,0.194991,2.62174,2.62925
345,0.0319876,0.192643,2.65,2.65719
346,0.0259284,0.204152,2.57816,2.58637
347,0.0433763,0.199314,2.53318,2.54138
348,0.0357344,0.20315,2.48137,2.48993
349,0.0336772,0.196509,2.53628,2.5441
350,0.0278696,0.194315,2.55441,2.56194
351,0.041265,0.18318,2.5293,2.53626
352,0.0387614,0.17451,2.51729,2.52363
353,0.0369201,0.184075,2.47568,2.48279
354,0.039047,0.183451,2.50129,2.50831
355,0.0413571,0.191272,2.45792,2.46569
356,0.0444777,0.191867,2.53579,2.54343
357,0.0446641,0.190121,2.5563,2.56375
358,0.057013,0.180368,2.60606,2.61291
359,0.0630625,0.179765,2.50679,2.51402
360,0.0784123,0.171106,2.5288,2.5358
361,0.0664973,0.174109,2.56386,2.57062
362,0.0681951,0.177412,2.53879,2.5459
363,0.0597062,0.173981,2.60738,2.61386
364,0.061363,0.172982,2.61898,2.6254
365,0.0621539,0.177954,2.62402,2.63078
366,0.0567215,0.180452,2.52881,2.53587
367,0.052694,0.182961,2.53268,2.53983
368,0.0395739,0.189643,2.5114,2.51886
369,0.0516472,0.192988,2.56703,2.57479
370,0.0460857,0.195646,2.55195,2.55986
371,0.0483045,0.185692,2.52954,2.53681
372,0.0447476,0.191596,2.62187,2.62924
373,0.0553498,0.189971,2.56952,2.57713
374,0.0577512,0.182239,2.55525,2.56239
375,0.0604394,0.184499,2.56646,2.57379
376,0.0605626,0.192701,2.47694,2.48517
377,0.0626402,0.184434,2.51608,2.52361
378,0.0747816,0.189646,2.49966,2.50796
379,0.0678322,0.187509,2.58087,2.58856
380,0.068936,0.186122,2.6094,2.61694
381,0.0683381,0.194703,0.428991,0.476038
382,0.0604409,0.186802,0.437276,0.479331
383,0.0712017,0.196038,0.433974,0.481492
384,0.0690015,0.197994,0.442815,0.489947
385,0.0635899,0.191096,0.440873,0.484696
386,0.0656559,0.190987,0.429095,0.474246
387,0.0582151,0.193434,0.421062,0.46701
388,0.0571613,0.201293,0.425674,0.474326
389,0.0536558,0.211881,0.430547,0.482849
390,0.0547689,0.203881,0.44553,0.493015
391,0.0473669,0.204556,0.444186,0.491312
392,0.0514168,0.198192,0.452397,0.496575
393,0.0434604,0.20418,0.439667,0.486709
394,0.0351683,0.199709,0.457346,0.500286
395,0.0323054,0.202081,0.449565,0.493953
396,0.0439241,0.19337,0.445998,0.488094
397,0.0357444,0.193998,0.444892,0.486664
398,0.0423136,0.194753,0.454642,0.496405
399,0.0464605,0.186552,0.461409,0.499858
400,0.0416116,0.197762,0.449796,0.49311
401,0.0399592,0.199944,0.460409,0.503538
402,0.0373384,0.197777,0.461018,0.503038
403,0.0425644,0.203519,0.451713,0.497269
404,0.0483537,0.201972,0.459875,0.504594
405,0.0523539,0.197454,0.445803,0.490377
406,0.0519877,0.195132,0.454699,0.497524
407,0.0507389,0.199192,0.440659,0.486243
408,0.0497392,0.202445,0.4311,0.478859
409,0.0449606,0.20589,0.448506,0.49555
410,0.0505133,0.212065,0.438177,0.48941
411,0.0440085,0.213114,0.441481,0.492199
412,0.0532366,0.20447,0.45142,0.49842
413,0.062669,0.205331,0.455172,0.503259
414,0.0517173,0.201188,0.451835,0.497299
415,0.0561075,0.202941,0.459665,0.505593
416,0.0580319,0.203291,0.466468,0.51214
417,0.0625732,0.20169,0.466836,0.512377
418,0.0589252,0.195098,0.482172,0.523474
419,0.0576349,0.196164,0.480341,0.522044
420,0.0641336,0.200558,0.474972,0.519553
421,0.0745095,0.201567,0.481368,0.527159
422,0.0648532,0.193928,0.481074,0.52273
423,0.0713231,0.202471,0.474895,0.521159
424,0.070408,0.20662,0.484369,0.531284
425,0.0701636,0.207468,0.489797,0.536533
426,0.0594235,0.219159,0.473133,0.524801
427,0.0600662,0.212385,0.483473,0.531471
428,0.0620829,0.206667,0.485913,0.531674
429,0.0681596,0.215976,0.461677,0.514234
430,0.0642718,0.217402,0.479499,0.53039
431,0.0717764,0.204636,0.482591,0.529077
432,0.0616036,0.210964,0.471235,0.519965
433,0.0534467,0.216616,0.468112,0.518564
434,0.0626735,0.207887,0.483069,0.529623
435,0.0507078,0.219619,0.484609,0.534462
436,0.0600356,0.218151,0.475559,0.526641
