PID,x0,xf,E0,Ef
321,-0.379583,-881867,100,99.9999
322,-0.379583,-881868,100,99.9999
323,-0.379583,-881868,100,99.9999
324,-0.379583,-881866,100,99.9999
325,-0.379583,-881868,100,99.9999
326,-0.379583,-881867,100,99.9999
327,-0.379583,-881867,100,99.9999
328,-0.379583,-881867,100,99.9999
329,-0.379583,-881867,100,99.9999
330,-0.379583,-881868,100,99.9999
331,-0.379583,-881868,100,99.9999
332,-0.379583,-881868,100,99.9999
333,-0.379583,-881868,100,99.9999
334,-0.379583,-881868,100,99.9999
335,-0.379583,-881867,100,99.9999
336,-0.379583,-881867,100,99.9999
337,-0.379583,-881868,100,99.9999
338,-0.379583,-881866,100,99.9999
339,-0.379583,-881868,100,99.9999
340,-0.379583,-881867,100,99.9999
341,-0.379583,-881866,100,99.9999
342,-0.379583,-881868,100,99.9999
343,-0.379583,-881868,100,99.9999
344,-0.379583,-881866,100,99.9999
345,-0.379583,-881866,100,99.9999
346,-0.379583,-881866,100,99.9999
347,-0.379583,-881867,100,99.9999
348,-0.379583,-881867,100,99.9999
349,-0.379583,-881868,100,99.9999
350,-0.379583,-881868,100,99.9999
351,-0.379583,-881868,100,99.9999
352,-0.379583,-881867,100,99.9999
353,-0.379583,-881868,100,99.9999
354,-0.379583,-881868,100,99.9999
355,-0.379583,-881867,100,99.9999
356,-0.379583,-881867,100,99.9999
357,-0.379583,-881867,100,99.9999
358,-0.379583,-881866,100,99.9999
359,-0.379583,-881867,100,99.9999
360,-0.379583,-881867,100,99.9999
361,-0.379583,-881868,100,99.9999
362,-0.379583,-881868,100,99.9999
363,-0.379583,-881868,100,99.9999
364,-0.379583,-881868,100,99.9999
365,-0.379583,-881868,100,99.9999
366,-0.379583,-881867,100,99.9999
367,-0.379583,-881868,100,99.9999
368,-0.379583,-881869,100,99.9999
369,-0.379583,-881867,100,99.9999
370,-0.379583,-881867,100,99.9999
371,-0.379583,-881868,100,99.9999
372,-0.379583,-881868,100,99.9999
373,-0.379583,-881868,100,99.9999
374,-0.379583,-881867,100,99.9999
