PID,x0,xf,E0,Ef
300,-0.379583,506429,100,100
301,-0.379583,509079,100,100
302,-0.379583,505744,100,100
303,-0.379583,508439,100,100
304,-0.379583,508886,100,100
305,-0.379583,505444,100,100
306,-0.379583,506191,100,100
307,-0.379583,509732,100,100
308,-0.379583,509492,100,100
309,-0.379583,504814,100,100
310,-0.379583,509848,100,100
311,-0.379583,508705,100,100
312,-0.379583,505097,100,100
313,-0.379583,505877,100,100
314,-0.379583,509683,100,100
315,-0.379583,509436,100,100
316,-0.379583,508431,100,100
317,-0.379583,506315,100,100
318,-0.379583,506858,100,100
319,-0.379583,505124,100,100
320,-0.379583,506912,100,100
321,-0.379583,507390,100,100
322,-0.379583,506221,100,100
323,-0.379583,505763,100,100
324,-0.379583,509796,100,100
325,-0.379583,506040,100,100
326,-0.379583,505815,100,100
327,-0.379583,508146,100,100
328,-0.379583,507670,100,100
329,-0.379583,507421,100,100
330,-0.379583,508214,100,100
331,-0.379583,505052,100,100
332,-0.379583,508171,100,100
333,-0.379583,510052,100,100
334,-0.379583,509125,100,100
335,-0.379583,507172,100,100
336,-0.379583,508748,100,100
337,-0.379583,507908,100,100
338,-0.379583,507365,100,100
339,-0.379583,509267,100,100
340,-0.379583,508286,100,100
341,-0.379583,507252,100,100
342,-0.379583,507028,100,100
343,-0.379583,509732,100,100
344,-0.379583,505934,100,100
345,-0.379583,509696,100,100
346,-0.379583,507637,100,100
347,-0.379583,505889,100,100
348,-0.379583,507886,100,100
349,-0.379583,508986,100,100
350,-0.379583,508514,100,100
351,-0.379583,507046,100,100
352,-0.379583,507317,100,100
353,-0.379583,507683,100,100
354,-0.379583,509192,100,100
355,-0.379583,506134,100,100
356,-0.379583,505688,100,100
357,-0.379583,505857,100,100
358,-0.379583,506877,100,100
359,-0.379583,508565,100,100
360,-0.379583,506416,100,100
361,-0.379583,507967,100,100
362,-0.379583,506157,100,100
363,-0.379583,507877,100,100
364,-0.379583,506700,100,100
365,-0.379583,505753,100,100
366,-0.379583,506956,100,100
367,-0.379583,505775,100,100
368,-0.379583,508143,100,100
369,-0.379583,509915,100,100
370,-0.379583,507027,100,100
371,-0.379583,506728,100,100
372,-0.379583,505781,100,100
373,-0.379583,505023,100,100
374,-0.379583,508685,100,100
375,-0.379583,509257,100,100
376,-0.379583,506327,100,100
377,-0.379583,506854,100,100
378,-0.379583,506572,100,100
379,-0.379583,507361,100,100
380,-0.379583,509305,100,100
381,-0.379583,507556,100,100
382,-0.379583,507114,100,100
383,-0.379583,508681,100,100
384,-0.379583,509046,100,100
385,-0.379583,507874,100,100
386,-0.379583,507502,100,100
387,-0.379583,506799,100,100
388,-0.379583,506756,100,100
389,-0.379583,506444,100,100
390,-0.379583,506953,100,100
391,-0.379583,509118,100,100
392,-0.379583,509764,100,100
393,-0.379583,508276,100,100
394,-0.379583,506993,100,100
395,-0.379583,505412,100,100
396,-0.379583,509258,100,100
397,-0.379583,507507,100,100
398,-0.379583,506636,100,100
399,-0.379583,508032,100,100
400,-0.379583,505380,100,100
401,-0.379583,507924,100,100
402,-0.379583,507185,100,100
403,-0.379583,508179,100,100
404,-0.379583,509002,100,100
405,-0.379583,508098,100,100
406,-0.379583,507767,100,100
407,-0.379583,509966,100,100
408,-0.379583,507436,100,100
409,-0.379583,506013,100,100
410,-0.379583,508666,100,100
411,-0.379583,508629,100,100
412,-0.379583,506011,100,100
413,-0.379583,509747,100,100
414,-0.379583,507656,100,100
415,-0.379583,504049,100,100
416,-0.379583,508474,100,100
417,-0.379583,506204,100,100
418,-0.379583,507023,100,100
419,-0.379583,505712,100,100
420,-0.379583,509606,100,100
421,-0.379583,509055,100,100
422,-0.379583,505157,100,100
423,-0.379583,506754,100,100
424,-0.379583,505987,100,100
425,-0.379583,508804,100,100
426,-0.379583,507860,100,100
427,-0.379583,504883,100,100
428,-0.379583,506099,100,100
429,-0.379583,504014,100,100
430,-0.379583,505862,100,100
431,-0.379583,507621,100,100
432,-0.379583,505949,100,100
433,-0.379583,508155,100,100
434,-0.379583,507519,100,100
435,-0.379583,508002,100,100
436,-0.379583,509616,100,100
437,-0.379583,506355,100,100
438,-0.379583,506638,100,100
439,-0.379583,508155,100,100
440,-0.379583,507976,100,100
441,-0.379583,509955,100,100
442,-0.379583,506372,100,100
443,-0.379583,505986,100,100
444,-0.379583,509414,100,100
445,-0.379583,507217,100,100
446,-0.379583,507209,100,100
447,-0.379583,509869,100,100
448,-0.379583,506622,100,100
449,-0.379583,504579,100,100
450,-0.379583,508438,100,100
451,-0.379583,506385,100,100
452,-0.379583,508513,100,100
453,-0.379583,506100,100,100
454,-0.379583,508984,100,100
455,-0.379583,508210,100,100
456,-0.379583,509749,100,100
457,-0.379583,508044,100,100
458,-0.379583,506130,100,100
459,-0.379583,507493,100,100
460,-0.379583,506022,100,100
461,-0.379583,507968,100,100
462,-0.379583,507645,100,100
463,-0.379583,510041,100,100
464,-0.379583,509835,100,100
465,-0.379583,507817,100,100
466,-0.379583,507564,100,100
467,-0.379583,505441,100,100
468,-0.379583,509009,100,100
469,-0.379583,507988,100,100
470,-0.379583,505613,100,100
471,-0.379583,507593,100,100
472,-0.379583,505453,100,100
473,-0.379583,506938,100,100
474,-0.379583,505726,100,100
475,-0.379583,509100,100,100
476,-0.379583,507356,100,100
477,-0.379583,504746,100,100
478,-0.379583,507004,100,100
479,-0.379583,507596,100,100
480,-0.379583,508754,100,100
481,-0.379583,505939,100,100
482,-0.379583,505689,100,100
483,-0.379583,505668,100,100
484,-0.379583,508288,100,100
485,-0.379583,505276,100,100
486,-0.379583,506577,100,100
487,-0.379583,507769,100,100
488,-0.379583,508717,100,100
489,-0.379583,508855,100,100
490,-0.379583,506667,100,100
491,-0.379583,505667,100,100
492,-0.379583,509443,100,100
493,-0.379583,509872,100,100
494,-0.379583,505568,100,100
495,-0.379583,509355,100,100
496,-0.379583,508000,100,100
497,-0.379583,510046,100,100
498,-0.379583,508621,100,100
499,-0.379583,506808,100,100
500,-0.379583,506927,100,100
501,-0.379583,506186,100,100
502,-0.379583,507687,100,100
503,-0.379583,509729,100,100
504,-0.379583,505451,100,100
505,-0.379583,507288,100,100
506,-0.379583,506238,100,100
507,-0.379583,506774,100,100
508,-0.379583,506983,100,100
509,-0.379583,506277,100,100
510,-0.379583,505851,100,100
511,-0.379583,508932,100,100
512,-0.379583,505967,100,100
513,-0.379583,505392,100,100
514,-0.379583,507886,100,100
515,-0.379583,503858,100,100
516,-0.379583,509459,100,100
517,-0.379583,508859,100,100
518,-0.379583,507352,100,100
519,-0.379583,506171,100,100
520,-0.379583,509373,100,100
521,-0.379583,505967,100,100
522,-0.379583,508475,100,100
523,-0.379583,507153,100,100
524,-0.379583,507556,100,100
525,-0.379583,508420,100,100
526,-0.379583,508152,100,100
527,-0.379583,507073,100,100
528,-0.379583,506978,100,100
529,-0.379583,507505,100,100
530,-0.379583,509129,100,100
531,-0.379583,509281,100,100
532,-0.379583,507055,100,100
533,-0.379583,506860,100,100
534,-0.379583,506361,100,100
535,-0.379583,506218,100,100
536,-0.379583,508674,100,100
537,-0.379583,507768,100,100
538,-0.379583,510612,100,100
539,-0.379583,507186,100,100
540,-0.379583,509576,100,100
541,-0.379583,509525,100,100
542,-0.379583,507677,100,100
543,-0.379583,505902,100,100
544,-0.379583,509238,100,100
545,-0.379583,508200,100,100
546,-0.379583,507196,100,100
547,-0.379583,509432,100,100
548,-0.379583,507202,100,100
549,-0.379583,507479,100,100
550,-0.379583,509133,100,100
551,-0.379583,508431,100,100
552,-0.379583,506951,100,100
553,-0.379583,508883,100,100
554,-0.379583,507434,100,100
555,-0.379583,507843,100,100
556,-0.379583,507068,100,100
557,-0.379583,507930,100,100
558,-0.379583,507081,100,100
559,-0.379583,509459,100,100
560,-0.379583,507372,100,100
561,-0.379583,509793,100,100
562,-0.379583,506245,100,100
563,-0.379583,509244,100,100
564,-0.379583,507817,100,100
565,-0.379583,507203,100,100
566,-0.379583,509230,100,100
567,-0.379583,507201,100,100
568,-0.379583,505291,100,100
569,-0.379583,507732,100,100
570,-0.379583,507193,100,100
571,-0.379583,507126,100,100
572,-0.379583,509764,100,100
573,-0.379583,506453,100,100
574,-0.379583,506252,100,100
575,-0.379583,509067,100,100
576,-0.379583,506687,100,100
577,-0.379583,508430,100,100
578,-0.379583,509023,100,100
579,-0.379583,508949,100,100
580,-0.379583,506483,100,100
581,-0.379583,507502,100,100
582,-0.379583,505917,100,100
