PID,weight,x,y,z,vx,vy,vz
5,1,-4.65533e+11,-7.72951e+11,1.81786e+11,6.16016e+07,-5.17268e+06,-2.8603e+07
5,1,-4.68098e+11,-7.7407e+11,1.81715e+11,6.15643e+07,-6.4852e+06,-2.83627e+07
5,1,-4.62074e+11,-7.71106e+11,1.85057e+11,6.14883e+07,-7.80529e+06,-2.80865e+07
5,1,-4.61011e+11,-7.68569e+11,1.82314e+11,6.1373e+07,-9.13437e+06,-2.77718e+07
5,1,-4.63762e+11,-7.76115e+11,1.85758e+11,6.1219e+07,-1.0471e+07,-2.74159e+07
5,1,-4.62225e+11,-7.73258e+11,1.87395e+11,6.10269e+07,-1.18115e+07,-2.70163e+07
5,1,-4.63955e+11,-7.74865e+11,1.79865e+11,6.0797e+07,-1.31507e+07,-2.65718e+07
5,1,-4.59296e+11,-7.72706e+11,1.81392e+11,6.05292e+07,-1.44834e+07,-2.60826e+07
5,1,-4.57418e+11,-7.70155e+11,1.82931e+11,6.02235e+07,-1.58037e+07,-2.55494e+07
5,1,-4.60791e+11,-7.73254e+11,1.84159e+11,5.98813e+07,-1.71058e+07,-2.49728e+07
5,1,-4.63541e+11,-7.7662e+11,1.85329e+11,5.9507e+07,-1.83828e+07,-2.4353e+07
5,1,-4.5733e+11,-7.737e+11,1.82138e+11,5.91075e+07,-1.96277e+07,-2.36892e+07
5,1,-4.59418e+11,-7.69892e+11,1.78221e+11,5.86913e+07,-2.08339e+07,-2.29805e+07
5,1,-4.59426e+11,-7.71262e+11,1.79162e+11,5.82656e+07,-2.19965e+07,-2.2227e+07
5,1,-4.59087e+11,-7.72623e+11,1.84296e+11,5.78327e+07,-2.31136e+07,-2.14307e+07
5,1,-4.59389e+11,-7.76477e+11,1.81449e+11,5.73894e+07,-2.41858e+07,-2.05955e+07
5,1,-4.54385e+11,-7.71934e+11,1.77769e+11,5.69274e+07,-2.52159e+07,-1.97266e+07
5,1,-4.5629e+11,-7.78714e+11,1.83145e+11,5.64364e+07,-2.62069e+07,-1.88298e+07
5,1,-4.52428e+11,-7.74504e+11,1.84247e+11,5.5907e+07,-2.71609e+07,-1.79101e+07
5,1,-4.50808e+11,-7.7872e+11,1.76338e+11,5.53336e+07,-2.8078e+07,-1.69712e+07
