PID,weight,x0,xf,E0,Ef
3,3,-7.99017e+11,2.08789e+12,0,5.60559e-09
3,4,-7.9864e+11,2.08789e+12,0,5.60559e-09
3,5,-7.97098e+11,2.08789e+12,0,5.60559e-09
3,1,-6.85747e+11,2.08789e+12,0,5.60559e-09
3,2,-6.84829e+11,2.08789e+12,0,5.60559e-09
3,3,-6.89667e+11,2.08789e+12,0,5.60559e-09
3,4,-6.92147e+11,2.08789e+12,0,5.60559e-09
3,5,-6.85185e+11,2.0882e+12,0,7.96807e-10
3,6,-6.90084e+11,2.08767e+12,0,4.89501e-10
3,1,-4.94243e+11,2.08789e+12,0,5.60559e-09
3,2,-4.92427e+11,2.08789e+12,0,5.60559e-09
3,3,-4.9256e+11,2.08789e+12,0,5.60559e-09
3,4,-4.93076e+11,2.08789e+12,0,5.60559e-09
3,5,-4.89615e+11,2.08789e+12,0,5.60559e-09
3,6,-4.96699e+11,2.08773e+12,0,3.56863e-10
3,7,-4.93094e+11,2.08789e+12,0,5.60559e-09
3,1,-4.44839e+11,2.08789e+12,0,5.60559e-09
3,2,-4.42431e+11,2.08789e+12,0,5.60559e-09
3,3,-4.4456e+11,2.08789e+12,0,5.60559e-09
3,4,-4.4187e+11,2.08789e+12,0,5.60559e-09
3,5,-4.37273e+11,2.08789e+12,0,5.60559e-09
3,6,-4.43741e+11,2.08789e+12,0,5.60559e-09
3,7,-4.41238e+11,2.08789e+12,0,5.60559e-09
3,8,-4.37695e+11,2.08856e+12,0,3.53464e-09
3,1,1.44761e+10,2.08789e+12,0,5.60559e-09
3,2,1.76639e+10,2.08789e+12,0,5.60559e-09
3,3,1.22695e+10,2.08789e+12,0,5.60559e-09
3,4,1.47223e+10,2.08789e+12,0,5.60559e-09
3,5,1.19682e+10,2.08789e+12,0,5.60559e-09
3,6,1.26543e+10,2.08789e+12,0,5.60559e-09
3,7,1.44609e+10,2.08789e+12,0,5.60559e-09
3,8,1.86843e+10,2.08789e+12,0,5.60559e-09
3,9,1.82267e+10,2.08789e+12,0,5.60559e-09
3,1,-2.95995e+11,2.08789e+12,0,5.60559e-09
3,2,-2.89982e+11,2.08789e+12,0,5.60559e-09
3,3,-2.90702e+11,2.08789e+12,0,5.60559e-09
3,4,-2.95007e+11,2.08789e+12,0,5.60559e-09
3,5,-2.93727e+11,2.08792e+12,0,8.57469e-11
3,6,-2.92138e+11,2.08789e+12,0,5.60559e-09
3,7,-2.89234e+11,2.08789e+12,0,5.60559e-09
3,8,-2.90148e+11,2.08789e+12,0,5.60559e-09
3,9,-2.89285e+11,2.08789e+12,0,5.60559e-09
3,10,-2.88365e+11,2.08789e+12,0,5.60559e-09
4,1,-8.21713e+11,2.08789e+12,0,5.60559e-09
4,1,-8.20452e+11,2.08789e+12,0,5.60559e-09
4,2,-8.25814e+11,2.08789e+12,0,5.60559e-09
4,1,-8.2061e+11,2.08789e+12,0,5.60559e-09
4,2,-8.17837e+11,2.08789e+12,0,5.60559e-09
4,3,-8.19857e+11,2.08789e+12,0,5.60559e-09
4,1,-7.98135e+11,2.08789e+12,0,5.60559e-09
4,2,-7.98396e+11,2.08789e+12,0,5.60559e-09
4,3,-8.04284e+11,2.08758e+12,0,8.62935e-10
4,4,-7.98093e+11,2.08789e+12,0,5.60559e-09
4,1,-7.73346e+11,2.08811e+12,0,1.10828e-08
4,2,-7.75013e+11,2.08789e+12,0,5.60559e-09
4,3,-7.79396e+11,2.08789e+12,0,5.60559e-09
4,4,-7.79834e+11,2.08789e+12,0,5.60559e-09
4,5,-7.80495e+11,2.08789e+12,0,5.60559e-09
4,1,-4.89274e+11,2.08789e+12,0,5.60559e-09
4,2,-4.89384e+11,2.08789e+12,0,5.60559e-09
4,3,-4.92292e+11,2.08789e+12,0,5.60559e-09
4,4,-4.8908e+11,2.08789e+12,0,5.60559e-09
4,5,-4.94539e+11,2.08842e+12,0,2.22274e-09
