Step,Bx,By,Bz,Bm
150,1.34251e-07,1.005e-07,6.6657e-07,6.87342e-07
151,1.39241e-07,9.90252e-08,6.70356e-07,6.91788e-07
152,1.4444e-07,9.61975e-08,6.74425e-07,6.96395e-07
153,1.48745e-07,9.23235e-08,6.78893e-07,7.01103e-07
154,1.50951e-07,8.7902e-08,6.83909e-07,7.05865e-07
155,1.50289e-07,8.35623e-08,6.89571e-07,7.10688e-07
156,1.46808e-07,7.99639e-08,6.95857e-07,7.15656e-07
157,1.41413e-07,7.76776e-08,7.02583e-07,7.2087e-07
158,1.35557e-07,7.70733e-08,7.09413e-07,7.26349e-07
159,1.30724e-07,7.82392e-08,7.15902e-07,7.31933e-07
160,1.27911e-07,8.09527e-08,7.21575e-07,7.37282e-07
161,1.27319e-07,8.47103e-08,7.25997e-07,7.41928e-07
162,1.28356e-07,8.88166e-08,7.28844e-07,7.4537e-07
163,1.29925e-07,9.2515e-08,7.29944e-07,7.47166e-07
164,1.30868e-07,9.51359e-08,7.29305e-07,7.47037e-07
165,1.30388e-07,9.62311e-08,7.27118e-07,7.44958e-07
166,1.28297e-07,9.56634e-08,7.23742e-07,7.41224e-07
167,1.25009e-07,9.36308e-08,7.19671e-07,7.36424e-07
168,1.21302e-07,9.06191e-08,7.15483e-07,7.31329e-07
169,1.17967e-07,8.72943e-08,7.1176e-07,7.26732e-07
170,1.1547e-07,8.43591e-08,7.09e-07,7.23278e-07
171,1.13775e-07,8.24079e-08,7.07527e-07,7.2134e-07
172,1.12372e-07,8.18111e-08,7.07423e-07,7.20949e-07
173,1.10504e-07,8.26509e-08,7.08489e-07,7.21803e-07
174,1.07494e-07,8.4717e-08,7.10268e-07,7.23335e-07
175,1.03046e-07,8.7557e-08,7.12108e-07,7.24833e-07
176,9.74064e-08,9.05635e-08,7.13274e-07,7.25569e-07
177,9.13281e-08,9.30796e-08,7.13092e-07,7.24917e-07
178,8.58396e-08,9.45007e-08,7.11083e-07,7.22453e-07
179,8.18996e-08,9.43613e-08,7.07082e-07,7.18037e-07
180,8.00532e-08,9.23967e-08,7.01292e-07,7.11868e-07
181,8.02144e-08,8.85796e-08,6.94277e-07,7.04486e-07
